@relation ekgs
@attribute t1 NUMERIC
@attribute t2 NUMERIC
@attribute t3 NUMERIC
@attribute t4 NUMERIC
@attribute t5 NUMERIC
@attribute t6 NUMERIC
@attribute t7 NUMERIC
@attribute t8 NUMERIC
@attribute t9 NUMERIC
@attribute t10 NUMERIC
@attribute t11 NUMERIC

@data
0.0000000000, 0.9110433579, 1.3856406461, 0.5567764363, 0.8717797887, 1.0161200716, 1.4212670404, 0.9591663047, 1.5968719423, 2.0566963801, 1.9949937343
0.9110433579, 0.0000000000, 1.4798648587, 0.8000000000, 1.0148891565, 0.8902246907, 1.1445523142, 1.0535653753, 1.6062378404, 2.0976176963, 1.6093476939
1.3856406461, 1.4798648587, 0.0000000000, 1.4662878299, 1.5099668871, 1.5976545309, 1.2569805090, 1.2165525061, 1.6881943016, 1.9104973175, 2.2226110771
0.5567764363, 0.8000000000, 1.4662878299, 0.0000000000, 0.7937253933, 0.9810708435, 1.3747727085, 1.0049875621, 1.8110770276, 2.2538855339, 2.0223748416
0.8717797887, 1.0148891565, 1.5099668871, 0.7937253933, 0.0000000000, 0.8732124598, 1.4142135624, 1.1313708499, 1.6093476939, 2.0760539492, 1.8110770276
1.0161200716, 0.8902246907, 1.5976545309, 0.9810708435, 0.8732124598, 0.0000000000, 1.1543396381, 1.4044571905, 1.5041608956, 2.2721135535, 1.5913830463
1.4212670404, 1.1445523142, 1.2569805090, 1.3747727085, 1.4142135624, 1.1543396381, 0.0000000000, 1.1661903790, 1.7635192089, 1.9824227602, 2.0396078054
0.9591663047, 1.0535653753, 1.2165525061, 1.0049875621, 1.1313708499, 1.4044571905, 1.1661903790, 0.0000000000, 1.5905973721, 1.7972200756, 2.2803508502
1.5968719423, 1.6062378404, 1.6881943016, 1.8110770276, 1.6093476939, 1.5041608956, 1.7635192089, 1.5905973721, 0.0000000000, 1.6492422502, 2.1702534414
2.0566963801, 2.0976176963, 1.9104973175, 2.2538855339, 2.0760539492, 2.2721135535, 1.9824227602, 1.7972200756, 1.6492422502, 0.0000000000, 2.3853720884
1.9949937343, 1.6093476939, 2.2226110771, 2.0223748416, 1.8110770276, 1.5913830463, 2.0396078054, 2.2803508502, 2.1702534414, 2.3853720884, 0.0000000000
